guc,spa
"achiki, achikü ",acerca de
achikijee ,después de
achikijee ,más allá de
achikijee ,— conj
achikijee ,después de que
achikiru’u ,después de la salida de  en ausencia de
achikiru’u ,ama'ichiki
achikua’a ,achukua'a
achira ,seno
achira ,leche
"achisa, achise, aise ",carga
achitaa ,martillar
achitaa ,clavar
achon ,hijo  -ja
achon ,cría
achon ,fruto  fruta
achon ,achonnii  achooin
achon’irü ,sobrino  -na (materno de hembra)
"achonyaashi, -sü ",n_pos
"achonyaashi, -sü ",no m
"achonyaashi, -sü ",hijastro  -tra
"achonyaashi, -sü ",hijo adoptivo  hija adoptiva
"achukua’a, achikua’a ",otra vez en cuanto a
"achu’laa, atu’laa ",besar
"achu’laa, atu’laa ",chupar
"achu’laa, atu’laa ",atujawaa
"achumajaa, achunjaa ",estar celoso  -sa; estar envidioso  -sa
achuntaa ,pedir
achuwajawaa ,prender (fuego)
achuwajawaa ,arrancar (un motor)
achuwajawaa ,— v_t
achuwajawaa ,prender (fuego)
achuwajawaa ,chuwataa
achuwala ,llama
achüküjaa ,hacerle cosquillas
achüküjaa ,comprimir
achükütaa ,a'chükütaa
achü’ü ,riñón
ai (1) ,diente
ai (1) ,aliina
ai (2),noche
ai (3),yuca
ai (3),a'aise
"aicha, aiche",ropa interior
aikeyuu ,nieto  -ta; descendiente
aikkaa,oikkaa
aikkalawaa ,sentarse
aikkalawaa ,posesionarse
aikkale’eraa,sentar
aikkale’eraa,establecer
aikkale’eraa,instalar
ainchi ,cuñado (de varón)
ainkaa ,poder  lograr
ainkuwaa aa’in ,asustarse
ainkuwaa aa’in ,sorprenderse
ainküin ,en  entre
aipa’a ,de noche
aipa’inka ,anoche
aippia ,árbol trupillo  cují
aippia ,a'aippiase
aippirua ,pron
aippirua ,seis
airu’u ,en la horqueta de  entre el diente de
aise ,achisa
"aiwaa, alii ",doler
"aiwaa apüla, alii apüla ",ser amado por
aja'apüin ,tamaño (por altura  longitud)
aja'itaa ,recoger agua
aja'itaa ,sacar (un líquido)
aja'lajawaa ,terminarse  agotarse
aja'laje'eraa ,agotar
aja'laje'eraa ,destruir  exterminar
aja'ttaa ,terminarse  acabarse
"ajapkii, ejepkii ",muñeca
ajapulu'uwaa ,estar a cargo de
ajapü ,mano
ajapüna ,pulsera
ajaraittaa ,halar
ajaraittaa ,arrastrar
ajataa ,golpear  pegar
ajayajaa ,v_t
ajayajaa ,espiar
ajayajaa ,— v_t
ajayajaa ,acechar
ajuichajaa,ojuichajaa
"ajuittaa, ojuittaa ",salir
"ajuittiraa, ojuittiraa ",sacar
"ajuittiraa, ojuittiraa ",librar
"ajujawaa, ojujawaa",bostezar
"ajulijaa, ojulejaa ",v_t
"ajulijaa, ojulejaa ",mendigar
ajuntaa ,ojuntaa
ajununtawaa ,ojununtawaa
"ajurulajaa, ojurulajaa ",revolver
"ajutaa, ojutaa ",tirar  lanzar
"ajutaa, ojutaa ",botar
"ajutalaa, ojutalaa ",abrir
ajuttaa ,ojuttaa
ajuttiraa ,ojuttiraa
"ajutu, ojutu ",valor
"ajutuwaa, ojutuwaa ",caerse
ajuuna ,ojuuna
"ajuyaajaa, ojuyaajaa ",pedir prestado  tomar prestado
"ajuyaajaa, ojuyaajaa ",deber
"ajuyaala, ojuyaala ",deuda
ajü ,savia  resina
ajü ,pus
ajütaa ,enviar  mandar
ajütaa achikü ,soltar
ajütaa achikü ,empujar
ajütawaa achikü ,rechazar  rehusar
ajüttawaa ,ejittawaa
aka ,con (instrumento)
aka ,— conj
aka ,porque  como
"akaaliijaa, akaalinjaa ",ayudar
akacheraa ,colgar
akaijaa ,fumar
akaijaa ,ahumar
"akaisa'a, akatsa'a, akanasa'a ",pero  sin embargo
"akaisa'a, akatsa'a, akanasa'a ",Son las formas masculina  no masculina  y plural
"akaisa'a, akatsa'a, akanasa'a ",La conjunción concuerda con el complemento del verbo transitivo o con el sujeto si el verbo no es transitivo
akajee ,por medio de
akajee ,— conj
akajee ,porque
aka'aya ,asimismo
"akalia, aka'iya ",fecha  día de  tiempo de
"akalia, aka'iya ",ka'i
akalu'ujaa ,llenar
akalu'ujaa ,alu’u
akanain ,sueldo  ganancia
akanajaa ,ganar
akanajaa ,vencer
akanajuwaa ,ser vencido  -da
"akaratshi, akaraishi ",pron
"akaratshi, akaraishi ",siete
akasalajaa ,asalajaa
akatalaa ,separar  apartar
akatalawaa ,apartarse
"akotchajaa, okotchojoo ",recoger  reunir
"akotchajawaa, okotchojowaa ",reunirse  juntarse
akua ,viaje
akua ,curso
akua ,paso  velocidad
akuaippa ,forma  naturaleza
akuaippa ,manera
akuaippa ,conducta  costumbre
akuaippa ,vida
akulajawaa aa'in ,sentir pereza
akulajawaa aa'in ,estar aburrido  -da
"akumajaa, aku'ujaa, akunyajaa ",hacer  construir
"akumajaa, aku'ujaa, akunyajaa ",arreglar
"akumajaa, aku'ujaa, akunyajaa ",componer
"akumajaa, aku'ujaa, akunyajaa ",crear
akurulaa ,tener frío
akutkujawaa ,temblar
aküjaa ,contar
aküjaa ,confesar
aküjaa achikü ,acusar  denunciar
akünülaa ,masticar
a'ajaa,quemar
a'aka ,entre
a'aka ,en (mezclado)  en medio de
a'alain ,mentira
a'alain ,alawaa
a'alijawaa ,estar de parto
a'anaa ,armar
a'anaa ,tejer (en un telar)
a'anaa ,anülü  e'inaa
a'anapaa ,pedir prestado
a'anawaa ,vestir  vestirse
a'apüla ,arma
a'ata ,parte  pedazo  porción
a'ata ,lado
a'ata ,compañero  -ra; socio  -cia
a'ataa ,ponerle a uno (vestido  prenda); ponerse (vestido  prenda)
a'atapajaa ,esperar
a'ato'u ,al lado de
a'chaataa,a'yaataa
"a'chükütaa, achükütaa, a'tkütaa ",pisar
a'ikaa,e'ikaa
a'itaa ,pegar (con un proyectil)
a'itaajuya ,llover
a'ktütajawaa ,sufrir un ataque
a'lakajawaa ,cocinar
a'lapüjaa ,soñar con
"a'luwajaa, a'uwajaa, o'uwajaa ",robar
"a'luwatawaa, o'uwatawaa ",huir  escapar
a'tkütaa ,a'chükütaa
a'ttia ,cosecha  cultivo
a'ttia ,a'ttiee
a'ttia ,pünajüt
a'uwajaa ,a'luwajaa
a'ü ,semilla
a'ü ,bala
a'üi ,suegro (de mujer)
a'üi ,nuera (de varón)
a'ülü ,suegra (de mujer)
a'ülü ,nuera (de mujer)
a'ülüjaa ,regañar
a'ülüjirawaa ,discutir
a'ünüü ,enemigo  -ga
a'ürülawaa ,odiar
a'ütpa'a ,al lado de  junto a
a'waajaa ,alabar
a’waataa ,gritar
a’waatawaa ,jactarse
a’wala ,cabello
a’wala ,walashi
a’walakajaa ,v
a’walakajaa ,t dispersar  esparcir
a’wanajawaa ,cambiar
a’wayuuse ,esposo  -a
a’wayuuse ,wayuu
"a'wiira, a'wüira ",lágrima
"a'wiira, a'wüira ",manantial
"a’yaataa, a’chaataa ",pegar  golpear  azotar
a’yalajaa ,llorar
a'yalajiraa ,tocar (música o instrumento)
a'yalajiraa ,tener velorio
"a’yapüjaa, a’yapajaa ",coser
"a’yataai, -taalü ",n
"a’yataai, -taalü ",no m
"a’yataai, -taalü ",trabajador  -dora
"a’yataai, -taalü ",a'yataalii
a’yatawaa ,trabajar
a’yatawaa ,— n
a’yatawaa ,trabajo
alama ,pasto
alama ,a'alamase  a'alamain
alapajaa ,lamentar la muerte de uno  asistir a un velorio
alataa,pasar  suceder
alaüla ,tío (materno)
"alaülashi, -sü",n_pos
"alaülashi, -sü",no m
"alaülashi, -sü",jefe  -fa; comandante; dueño  -ña
"alaülashi, -sü",pl alaülashii
"alaülashi, -sü",laülaa
alawaa ,mentira
alawaa ,a'alain
aleewaa ,tener amistad
ale’e ,estómago  vientre  abdomen  barriga
ale’ejaa ,volver  regresar
ale'eru'u ,en el vientre de  en el interior de
alerajaa ,sentir asco por  aborrecer  desdeñar
aleshi ,cuñado (de mujer)
alia ,precio  valor
alii ,aiwaa
aliichajaa ,ordeñar
aliichajaa ,exprimir
"aliika, aliuuka ",por la tarde
aliikainka ,ayer
aliikajawaa ,subir  subirse
aliima ,e iima
aliina ,muela
aliina ,aii
aliita ,totuma (especie de calabaza)
aliita ,a'aliitain V
aliita ,iita
alijuna ,blanco  -ca (persona no wayuu); civilizado  -da (persona no wayuu)
alijuna ,a'alijunase
alijunaiki ,español (idioma)
alio’u ,herida
aliuuka ,aliika
alu’u ,dentro de  en
alu’ujasa’a ,pero
alumajaa ,amansar (caballo  mula  burro)
aluuwain ,pecho
aluwatawaa ,gobernar  mandar
aluwatawaa ,— v_t
aluwatawaa ,enviar  mandar
aluwatawaa aa’u ,gobernar
alüin ,nieto  -ta
alüinyuu ,cuñada (de varón)
alüjaa ,rastrear
alü’üjaa ,llevar  cargar  traer
alü’ülaa ,acercarse (en el tiempo; a un meta)
alü’ülaa ,arütkawaa
ama ,caballo  pos
ama ,a'amain
amaa ,con (acompañamiento)
amaa ,— conj
amaa ,y  que  siendo que
"amaajachi, -tü",n_pos
"amaajachi, -tü",no m
"amaajachi, -tü",compañero  -ra
"amaajachi, -tü",amaajana
"amaajachi, -tü",o'uyaajana
amaiwa ,en aquel tiempo de
ama’a ,duración
ama’ana ,donde  en posesión de
"ama’ichiki, ama’ichikü ",antes de la salida de
"ama’ichiki, ama’ichikü ",achikiru'u
ama’inru’u ,mientras
amanee ,bondad  cariño
amaünajaa ,cobrar por daño a una persona
amaüsijaa ,domar  amansar
amojujaa ,dañar  perjudicar
"amuuyuu, amouyuu ",cementerio
"amuuyuu, amouyuu ",a'amuuyuuse
amüchi ,múcura (vasija de barro cocido para agua)
amüchi ,amüche
amüin ,a  para
amüiwa’a ,solo  -la; mismo  -ma; propio  -pia
amüla ,garganta
amülaa ,derramarse  gotear
amüliajaa ,compadecerse de  tener compasión de
amüliajaa ,consolar
amüliajaa ,ayudar
amüliala ,sufrimiento
amülira,vello
amülira,pluma
amüloulii ,perderse
amüloulii ,perecer
amüraajüin ,novio  -via
amüsain ,humo
"amüschejaa, amüschijaa ",atragantarse
ana ,diseño
ana ,color
anaa (1),ser bueno  -na; estar bien
anaa (1),— v_i
anaa (1),sanar
anaa (1),— n
anaa (1),salud
anaa (2) ,aquí están  estamos
anaa (2) ,anii  anuu
anaajawaa,guardar
anaatawaa,*v_i
anaatawaa,acomodarse
anachonwaa,ser bonito  -ta
anain ,en  a
anain ,— conj
anain ,rel que  siendo que
anainjee ,de  por
anainjee ,— conj
anainjee ,porque (como consecuencia de)
anainmüin ,a  hacia
anainmüinre’eya ,hasta
anainmüinre’eya ,— conj
anainmüinre’eya ,hasta que
anajaa,mirar  observar
anajaa aa’u ,vigilar
anajaa aa’u ,cuidar
anakaa,alumbrar
analawaa,averiguar qué es  examinar
analawaa,averiguar cómo está
analüü,estar mejor de salud
"anamiaa, anemiaa",ser bueno  -na; ser justo  -ta; ser bondadoso  -sa
"aneekaa, aneukaa",escoger  elegir
anii ,aquí está  estoy (masculino)
anii ,anuu  anaa (2)
anneerü,oveja
anneerü,a'anneetse
ano’u ,diseño
"anooi, anoui",terreno despejado
"anooi, anoui",a'anooise
"anooipa’a, anouipa’a ",afuera
"anoujaa v.i.,",creer
"anoujaa v.i.,",— n
"anoujaa v.i.,",fe
anouktaa,corregir  arreglar  poner en orden
anoula ,fe
antaa,*v_i
antaa,venir  llegar
antaa anain,encontrar
antiraa,traer
anua,barco
anua,a'anuain
anujulaa,ounjulaa
anujulawaa,ounjulawaa
anulu ,nuca  cuello
anuu ,aquí está  estoy (no masculino)
anuu ,anii  anaa (2)
"anüiki, anüikü ",voz  habla
"anüiki, anüikü ",palabra  mensaje  opinión expresada
"anüiki, anüikü ",idioma
anülia ,nombre
anüliee,lista de nombres
anüliee,mensajero
anülü,telar
anülü,a'anülüin
anülü,a'anaa
apaajirawaa ,separarse (cada uno a su propio camino)
apachera ,dedo (del pie)
apachera ,ejepira
apain,huerta
apain,a'apainse
apain,yüüja
apa'a ,superficie  piso
apa'a ,— posp
apa'a ,en (el área de)
apalaalajaa ,ir de compras
apalanajawaa ,fluir
apalapajaa,hacer rodar
apalapajawaa ,rodar
apalirajaa,mezclar
apanai (1),hoja
apana (2),hígado
apanapajaa,encontrarse con una persona en el camino
apantajawaa ,irse corriendo
apasiajawaa ,hacer una visita  pasear
apato'u ,uña  garra  pezuña
aponoo,oponoo
apü ,atadura  cabestro  cuerda  sarta (de cuentas)
apücho'u ,detrás de
apü'ü ,muslo
apü'üya ,pastor  -tora; guardián  -diana; cuidador  -dora
apüla ,para  por
apüla ,— conj
apüla ,rel para que
apülain ,poder
apülajaa,prohibir
apülapünaa ,antes de
apülapünaa ,— conj
apülapünaa ,antes de que
apülee ,lugar  sitio  puesto
apüleerua ,delante de
apüna ,camino  sendero
apüna ,wopu
apünajaa,sembrar
apünüin ,pron
apünüin ,tres
apüshi ,familia  pariente
apüshi ,compañero  -ra
apüshi ,parte
apüshua'a ,pron
apüshua'a ,todo  -da
apütaa,dejar
apütawaa ,ser dejado  -da; quedar
apütawaa apüla ,dejar sobras a
apütawaa apüla ,despedirse de
apüttaa ,romperse (algo como cuerda  bolsa)
apüya,epia
aralajaa,dejar en remojo
aralo'u ,coronilla
aralo'u ,— posp
aralo'u ,encima de  sobre la cabeza de
arülaa,ser delgado  -da (de objetos planos)
arüleejaa,pastorear
arütkawaa ,acercarse a
arütkawaa ,alü'ülaa
asa ,filo
asaa,beber
asaajaa,traer  ir a buscar
asachiralü ,vaca
asachiralü ,paa'a
asakaa,saludar
asakiraa ,preguntar
asa'a ,pierna  pata
asa'a ,horcón (de la casa)  columna
asa'wajaa,alcanzar
asala ,a causa de  por
asalaa,carne
"asalajaa, akasalajaa",afilar
asanalaa aa'in ,respirar  suspirar
asapain ,rodilla
asapia ,pasaje
asapü ,espalda  columna vertebral
asatala ,codo
asawaa,beber (bebida alcohólica)
ase ,fibra  pulpa  borra
ase'eru'u ,mitad  cintura
ase'ewain ,cadera
asema ,leña
asema ,fuego
asema ,siki
asepü ,pared
aseyuu ,espíritu de la piache
asi ,cola
asii ,flor
asiipü ,sobrino  -na (materno de varón)
asiipü ,asiipünuu
asiiyajawaa,ensillar
asijaa,asar
asijaa,quemar
asijaa,marcar
asipala (1) ,cicatriz
asipala (2) ,viga lateral
asira ,risa
asiraa,dar de beber
asirajaa ,reirse
asiranajawaa ,resbalarse
asirü ,presa
asirü ,culpa
asiwataa,desatar
aso’iraa aa’in,oso’iraa aa’in
aso’irawaa aa’in,oso’irawaa aa’in
"asotaa, osotaa",apuñalar  pinchar
"asotaa, osotaa",— v_i
"asotaa, osotaa",brotar  retoñar
"asottaa, osottaa ",quebrarse
"asottaa, osottaa ",— v_t
"asottaa, osottaa ",quebrar
asouktaa ,responder
asukaa,recoger leña
asukawaa apüla,esperar (con preocupación)
asukawaa apüla,echar de menos
asüküitaa ,rasgarse
asüküitaa ,— v_t
asüküitaa ,rasgar
asü’ütaa,arrancar
asü’ütaa,— v_i
asü’ütaa,salir  desprenderse
asüla ,arteria  vena
asüla ,tendón
asülajaa,regalar
asürülaa,cerrar
asürülaa,encerrar
asürülaa,süttaa
asüsiinajaa,acecinar (salar la carne y secarla al aire)
asütaa,quitar
asha ,sangre
asha ,isha
ashaittaa ,jugar
ashajaa ,v_t
ashajaa ,escribir
ashajawaa,pintarse la cara
ashakataa ,bajar  descender
asha’walawaa ,ponerse de pie
asha’walawaa ,pararse
asha’walawaa ,sha’wataa
ashantajaa,adivinar (por suposiciones)
ashapajawaa ,darse prisa  tener prisa
ashapatawaa ,preocuparse
ashataa (1) ,sanar (una herida)
ashataa (2),copiar  imitar  aprender imitando
ashatawaa ,partirse
ashatawaa ,— v_t
ashatawaa ,partir
ashe’ejirawaa ,pelear con puños
ashe’etaa,golpear  patear
ashe’etuwaa oo’ui ,tropezar
ashe’in ,ropa
ashe’in ,she’in
ashi ,padre
ashi ,tío (paterno)
ashi ,ashüü
ashiitaa ,orinar
ashijawaa,lavar (ropa)
ashimia ,suegro (de varón)
ashimia ,yerno (de varón)
ashiyaashi ,padrastro
"ashottaa, oshottoo",cortar (con hacha  machete)
ashoujaa ,estornudar
ashuku ,huevo
ashunuu ,hermana menor (de varón)
ashutaa ,meterse  entrar a la fuerza
ashutaa aa’u ,invadir  atacar
ashuunajaa ,nadar
ata ,piel  cuero
ata ,cáscara  corteza
ata ,cubierta  envoltura  vaina
ataa ,atragantarse
"atak, atek ",¡caramba!
ata'ülaa,coger  agarrar
atalejaa,tocar (tambor  puerta)
atamawaa ,levantarse
atamawaa ,incorporarse
ataralawaa amaa,confiar en  contar con
"ataralüichi, -rü ",adulto  -ta
ataüjawaa,violar (a una mujer)
atchin,atsüin
atek,atak
atkaa,flechar  punzar
atkaa,— v_i
atkaa,retoñar
atkawaa ,pelear
atouta ,piel entera  superficie entera
atpajaa,recolectar (alimento)
atpanaa,conejo  -ja
atpanaa,a'atpanaase
"atsüin, atsin, atchin ",fuerza  fortaleza
atujawaa ,mamar
atujawaa ,achu'laa
"atujeejachi, -tü ",n_pos
"atujeejachi, -tü ",no m
"atujeejachi, -tü ",subordinado  -da
"atujeejachi, -tü ",atujeejana
atujuna ,viga
atu'laa,achu'laa
atu’u ,superficie interior  superficie inferior  parte superior de las piernas
atulaa,entretejer  tejer  trenzar
atunkaa ,dormir
atuushi ,abuelo
atuushi ,antepasado
atuushi ,atuushinuu
atüjaa,saber
atüjawaa aa’u,saber de
atükaa,formar  moldear
atükaa pootshi,embarrar
atükawaa ,atascarse
atüma ,por
atüna ,brazo  ala
atüna ,rama
atüna ,pluma
atünajutü ,amigo  -ga
atürüla ,trueno  paso estruendoso de animales
"atütüjaa, atütajaa",animar  alentar
aüjaa,cortar (el pelo)  afeitar  trasquilar
aüjawaa,matar (ganado)
aüjawaa,desollar
aüliijana ,collar
aürülaa,estar flaco  -ca
aüttawaa,ejittawaa
awaa ,saliva
"awachira, awatira ",carrera
awajawaa ,rajarse  partirse
awala ,hermano  -na
awala ,awalayuu
awalaajaa,pagar
awalaajaa,walawaa
awalainse ,mandíbula  quijada
awala’ata ,compañero  -ra; pareja
awalapa’a ,mejilla
awarala ,luz
awarala ,waratshii
awareejaa,barrer
awashirüin ,riqueza
awataa ,volar  despegar
awataa ,saltar  brincar
awataa ,— v_t
awataa ,saltar
awatawaa ,correr
awatawaa ,soplar (el viento)
awatawaa ,volar (por el viento)
awatira,awachira
awatse ,costilla
"awaüya, awaüye ",Semillas (para la siembra)
"awaüya, awaüye ",waüyee
awoutisaajaa,owoutisaajaa
ayaa ,relámpago
"ayaakua, o’uyaakua ",imagen  fotografía
"ayaakua, o’uyaakua ",ejemplo
ayaawajaa,contar  medir
ayaawase ,señal  símbolo
ayaawataa,reconocer  distinguir
ayaawataa,medir
ayaawataa aa’u ,entender
ayalajaa,comprar
ayaleraa,levantar  alzar
ayaluju,ayolojo
ayamüjaa,ayounjaa
ayataa ,seguir
ayee ,lengua
"ayolojo, ayaluju ",sombra
"ayolojo, ayaluju ",apariencia
"ayolojo, ayaluju ",espíritu  fantasma
ayoujaa,criticar
ayoujirawaa ,competir
ayouktaa,rechazar
"ayounjaa, ayamüjaa",azotar severamente
ayu’laa,sacar
ayu’laa,retirar
ayu’laa,restar
ayuulii,estar enfermo  -ma
ayuulii,— n
ayuulii,enfermedad
ayuulii,mayeinwaa
ayülain ,intestino  tripa
ayüüjawaa,moler
chajaruuta,machete
chajaruuta,achajaruutse
cha’aya ,allá (lejos)
che’esaa,arete
che’esaa,ache'ese
che’ojawaa,cho'ujawaa
chi ,este
chii ,pron éste
chii ,— adj
chii ,este
chii ,Esta forma del adjetivo se usa después del nombre
"chiiruajachi, -tü ",posterior; último  -ma
"chiiruajachi, -tü ",— n
"chiiruajachi, -tü ",n no m posterior; último  -ma
chira ,ese
chira ,— pron ése
chirinchi,aguardiente
chirinchi,-in
chisa ,aquel
chisa ,— pron aquél
chocho ,trompo
chocho ,-in
"cho’ujawaa, che’ojawaa, ja’ijawaa",faltar
chuwataa,estar encendido  -da; estar prendido; estar brillando
chuwataa,achuwajawaa
chü’laa,estar mojado  -da
chü’laa,— v_i
chü’laa,mojarse
chünü’ü,colibrí
eechin ,marido  esposo
eejirawaa ,luchar
eejuu ,olor
ee’irain ,canción
ee’irain ,jayeechi
"ee’irajaa v.i.,",cantar
ee’iraka ,sustituto  -ta; suplente
ee’iranajawaa,cambiar  reemplazar
ee’iranajawaa,— v_i
ee’iranajawaa,transformarse
ee’irataa,cambiar
ee’iratawaa,cambiar de esposo  -sa
ee’iree ,por afán de
ee’iree ,— conj
ee’iree ,para que
ee’iyalawaa ,aparecerse  asomar
ee’iyalawaa ,asomarse
ee’iyataa,mostrar  señalar  revelar
eema ,miedo a
eemerawaa ,descansar
eemerawaa ,— n
eemerawaa ,descanso
eemioushi ,sombra
"eenakaa, aanekaa, ounekaa",llamar
eerüin ,esposa
eetaa,v_t
eetaa,vomitar
eewaa,haber  existir
eewaa ama’ana ,tener
eewain ,víctima
eewawaa ,accidentarse  lastimarse  dañarse
ei ,madre
ei ,tía (paterna)
ei ,eyüü
"eimalawaa, ejimalawaa ",calmarse  apaciguarse
eimata ,labio
eimüse,eipüse
einalu'u ,en el fondo de  en el principio de
einalu'u ,— n_pos
einalu'u ,nalga
einase ,asiento
eipiraa,perseguir
"eipüse, eimüse ",hueso
"eipüse, eimüse ",espina
"eipüse, eimüse ",jiipü
eirakawaa ,mirar
eisalajaa,cuidar  asear
eisalawaa ,acostarse
eitajaa,repartir
eitawaa ,volver  regresar
eite’eraa,devolver
eiwa’ajaa aa’in,perturbar  alborotar  incitar
eiyaasü ,madrastra
eiyajaa,curar
eiyajaa,hechizar
ejeerüjaa,marcar
ejejerawaa ,cuchichear  secretear
ejepira ,dedo (de la mano)
ejepira ,apachera
ejepkii,ajapkii
ejerü ,cuerda (para colgar la hamaca)
ejetaa,escupir
ejimalawaa,eimalawaa
ejitaa,verter (polvos o granos)  echar (polvos o granos)
"ejittawaa, ajüttawaa, aüttawaa",atar
ekaa,comer
ekaa,picar
eke’ejaa aa’in,molestar
ekeraajaa,terminar  cumplir
ekeraajaa,— v_i
ekeraajaa,cumplirse
ekeraajaa,kerawaa
ekerojiraa,meter
ekerolaa ,entrar
ekia ,mano derecha
ekia ,utensilio para comer
ekii ,cabeza
ekii ,mente
ekii ,tocón
ekii ,fuente
ekii ,origen
ekii ,decena (para formar números)
ekii ,ekiyüü
ekiipala ,almohada
ekiipala ,viga maestra  cumbrera
ekiipü’ü ,cabeza (de un grupo)  guía  jefe
"ekiisa, ekiise ",grito
"ekiisa, ekiise ",kiisa  kiise
ekiisholoin ,cerebro  seso
ekiraa,dar de comer
ekirajaa,enseñar
ekirajawaa,estudiar  aprender
eküülü,comida  alimento
eküülü,eküin
e’e ,plaga  parásito
e’ejena ,cabalgadura
e’ejena ,vehículo  carro
e’ejü ,sabor
e’erü ,cuñada (de mujer)
e’ichi ,nariz
e’ichi ,hocico
e’ichi ,pico (de un pájaro)
e’ichi ,punta
e’iijaa ,tener diarrea
"e’iima, aliima ",barba
e’iitaa ,defecar
"e’ikaa, a’ikaa",enseñar  instruir
"e’ikaa, a’ikaa",llevar
e’ikajawaa,llevar y dejar
e’ikawaa,estar herido  -da
e’inaa,tejer con aguja
e’inaa,a'anaa
e’ipa ,pedazo  parte
e’ipajee ,en respuesta a
e’ipo’u ,frente
e'ipolo ,tapa
e'ipolo ,rival
e’ipünawaa,llevar y dejar de camino  dejar de paso
e’ira ,sonido  ruido
e’ira ,llanto
e’ira ,canto (de animal)
"e’iruku, e’itku ",carne  cuerpo
"e’iruku, e’itku ",casta
e’iru’u ,punta
e’iru’u ,— posp
e’iru’u ,en la punta de
e’iruma ,primogénito  -ta
e’itaa,aportar
e’itawaa,poner  meter
e’itawaa,proponer  suponer
e’itawaa,designar  asignar  establecer
e’itku,e'iruku
"e’iyeise, e’iyeinse ",barbilla  mentón
e’iyou ,visita; huésped  -da
e’raa,ver
e’raa,experimentar
e’raajaa,conocer
e’rajaa,mirar
e’rajaa aa’u ,cuidar  vigilar
e’rajawaa,mirar  observar  examinar
emechi ,brasa
emeejaa,engañar
emeejaa,defraudar
eme’eraa aa’in,convencer  persuadir
eme’eraa aa’in,atraer
eme'erainpala ,blanco de broma o burla
eme’erajawaa ,bromear
"ememajaa, ememejaa ",lloviznar
emeriijaa,emiriijaa
emeroloo ,hundirse
emeshi ,suegra (de varón)
emetulu ,en voz alta  fuertemente
emia ,comida para el viaje
emiirua ,hermana menor (de mujer)
emi’ijaa ,jugar
emi'ira ,juguete
emiraa,estar harto  -ta
emiralaa,tragar
"emiriijaa, emeriijaa",medir
emülia ,hermano menor
emülia ,emüliee
epaya ,hermano  -na mayor
epejawaa,prender  encender
epejawaa,— v_i
epejawaa,v_t
epejawaa,arrancar (un motor)
epe'e ,mano izquierda
eperaa,estar borracho  -cha
eperaa,— v_i
eperaa,emborracharse
eperulajaa ,chismear
eperü’üi,sapo
epesajaa,pesar
epetaa,ser poco profundo  -da
epettaa,tocar
epi (1) ,medicina  remedio  veneno (para exterminar algo)
epi(2) ,cabo  mango (de un utensilio)
"epia, apüya ",casa
"epia, apüya ",nido
"epia, apüya ",miichi
epijaa,criar
epijaa,sustentar
"epijana, epishana ",ruido de objetos producido por golpes o fricción
epirajaa,llenar  inflar
epishana,epijana
epitanajaa,v
epitanajaa,t
epitanajaa,barrer
era ,jugo  savia
era ,caldo
era ,sudor
eroku ,en (un líquido)
erouse ,tapa  tapón
erü,perro  -rra
erü,mürülü
eweetaa ,salir a la vista  aparecer
ewein ,lunar
ewiijaa ,silbar
ichee,estar tenso  -sa
ichee,estar apretado  -da
